,Name,Model Idx,Epoch,KL,Rho,A-norm,B-norm,MC,DeltaPhi,MSE,NRMSE
0,Gaussian,0,1,0,0.715595543384552,10.222803115844727,1.7021294832229614,11.560105323791504,0.1479125244465061,3.7357230861342056e-07,0.08904727447355747
1,Bimodal,1,1,0,0.715595543384552,10.222803115844727,2.32709002494812,10.128376007080078,0.15468515256334847,3.7357230861342056e-07,0.08904727447355747
2,Soft Trimodal,2,1,0,0.715595543384552,10.222803115844727,0.88739413022995,11.1276273727417,0.21754756885414003,3.7357230861342056e-07,0.08904727447355747
3,Edgy Trimodal,3,1,0,0.715595543384552,10.222803115844727,2.079927682876587,10.338276863098145,0.09763269376230385,3.7357230861342056e-07,0.08904727447355747
4,Gaussian,0,2,0,0.7304723858833313,10.435344696044922,3.2496023178100586,12.095698356628418,0.1281678559593804,3.7357230861342056e-07,0.08904727447355747
5,Bimodal,1,2,0,0.7304711937904358,10.435336112976074,3.399162769317627,9.495623588562012,0.13318610095949654,3.7357230861342056e-07,0.08904727447355747
6,Soft Trimodal,2,2,0,0.7304707765579224,10.435340881347656,1.5150798559188843,11.081128120422363,0.2125592554986278,3.7357230861342056e-07,0.08904727447355747
7,Edgy Trimodal,3,2,0,0.7304730415344238,10.43533706665039,2.8643782138824463,10.12904167175293,0.08718706380697296,3.7357230861342056e-07,0.08904727447355747
8,Gaussian,0,3,0,0.7453267574310303,10.647537231445312,4.604531288146973,12.515283584594727,0.12295753881373772,3.7357230861342056e-07,0.08904727447355747
9,Bimodal,1,3,0,0.7453239560127258,10.647528648376465,4.031261920928955,9.04063606262207,0.1224851056250494,3.7357230861342056e-07,0.08904727447355747
10,Soft Trimodal,2,3,0,0.7453255653381348,10.64753246307373,1.9637714624404907,11.039884567260742,0.1962974948990657,3.7357230861342056e-07,0.08904727447355747
11,Edgy Trimodal,3,3,0,0.7453262805938721,10.647529602050781,3.314925193786621,10.054423332214355,0.08311373817580268,3.7357230861342056e-07,0.08904727447355747
12,Gaussian,0,4,0,0.7598123550415039,10.854479789733887,5.759454250335693,12.935466766357422,0.12332735329598155,3.7357230861342056e-07,0.08904727447355747
13,Bimodal,1,4,0,0.759810209274292,10.85446834564209,4.458846569061279,8.751493453979492,0.1194686949282308,3.7357230861342056e-07,0.08904727447355747
14,Soft Trimodal,2,4,0,0.7598106861114502,10.854474067687988,2.304365873336792,11.080092430114746,0.18740820697405142,3.7357230861342056e-07,0.08904727447355747
15,Edgy Trimodal,3,4,0,0.7598108053207397,10.854469299316406,3.621260643005371,10.008523941040039,0.08139005041428517,3.7357230861342056e-07,0.08904727447355747
16,Gaussian,0,5,0,0.7739225625991821,11.056063652038574,6.710600852966309,13.240607261657715,0.11292046194566689,3.7357230861342056e-07,0.08904727447355747
17,Bimodal,1,5,0,0.773922860622406,11.056051254272461,4.774014472961426,8.793355941772461,0.1210064072086961,3.7357230861342056e-07,0.08904727447355747
18,Soft Trimodal,2,5,0,0.7739217877388,11.05605697631836,2.581117630004883,11.18806266784668,0.18616468112299875,3.7357230861342056e-07,0.08904727447355747
19,Edgy Trimodal,3,5,0,0.773922860622406,11.056052207946777,3.8519740104675293,9.969316482543945,0.08100775413087216,3.7357230861342056e-07,0.08904727447355747
20,Gaussian,0,6,0,0.7880332469940186,11.257645606994629,7.4641571044921875,13.63756275177002,0.09140161404247625,3.7357230861342056e-07,0.08904727447355747
21,Bimodal,1,6,0,0.7880322933197021,11.257633209228516,5.021116733551025,8.709222793579102,0.12554850611785232,3.7357230861342056e-07,0.08904727447355747
22,Soft Trimodal,2,6,0,0.7880333662033081,11.25763988494873,2.8192129135131836,11.321945190429688,0.19096279555008214,3.7357230861342056e-07,0.08904727447355747
23,Edgy Trimodal,3,6,0,0.7880328297615051,11.257635116577148,4.039053440093994,9.96601676940918,0.0816262735500695,3.7357230861342056e-07,0.08904727447355747
24,Gaussian,0,7,0,0.8016892075538635,11.452743530273438,8.03528881072998,14.000763893127441,0.07939679746626739,3.7357230861342056e-07,0.08904727447355747
25,Bimodal,1,7,0,0.8016883730888367,11.452730178833008,5.224176406860352,8.69478702545166,0.13200379750870192,3.7357230861342056e-07,0.08904727447355747
26,Soft Trimodal,2,7,0,0.8016893267631531,11.452736854553223,3.0324039459228516,11.457900047302246,0.2001378134423052,3.7357230861342056e-07,0.08904727447355747
27,Edgy Trimodal,3,7,0,0.8016899824142456,11.45273208618164,4.198996543884277,9.973678588867188,0.08296547412659146,3.7357230861342056e-07,0.08904727447355747
28,Gaussian,0,8,0,0.8150577545166016,11.643717765808105,8.439628601074219,14.259441375732422,0.08915128512298094,3.7357230861342056e-07,0.08904727447355747
29,Bimodal,1,8,0,0.8150584101676941,11.64370346069336,5.397118091583252,8.778053283691406,0.13979150939992702,3.7357230861342056e-07,0.08904727447355747
30,Soft Trimodal,2,8,0,0.8150579333305359,11.643710136413574,3.227848529815674,11.574363708496094,0.2128924210605452,3.7357230861342056e-07,0.08904727447355747
31,Edgy Trimodal,3,8,0,0.8150576949119568,11.643705368041992,4.340450763702393,9.9940185546875,0.08494789567530142,3.7357230861342056e-07,0.08904727447355747
32,Gaussian,0,9,0,0.8284247517585754,11.834691047668457,8.703474998474121,14.385501861572266,0.1007435900722648,3.7357230861342056e-07,0.08904727447355747
33,Bimodal,1,9,0,0.8284267783164978,11.834677696228027,5.548893451690674,8.730733871459961,0.148539554483955,3.7357230861342056e-07,0.08904727447355747
34,Soft Trimodal,2,9,0,0.8284260034561157,11.834683418273926,3.409156322479248,11.673404693603516,0.22872982741332656,3.7357230861342056e-07,0.08904727447355747
35,Edgy Trimodal,3,9,0,0.8284249305725098,11.834678649902344,4.468416213989258,10.027620315551758,0.08751897522279176,3.7357230861342056e-07,0.08904727447355747
36,Gaussian,0,10,0,0.8416321277618408,12.023337364196777,8.862569808959961,14.627547264099121,0.10502694216105996,3.7357230861342056e-07,0.08904727447355747
37,Bimodal,1,10,0,0.8416312336921692,12.023323059082031,5.685337066650391,8.759711265563965,0.1578323706375338,3.7357230861342056e-07,0.08904727447355747
38,Soft Trimodal,2,10,0,0.8416309356689453,12.023329734802246,3.577860116958618,11.755221366882324,0.246815846406993,3.7357230861342056e-07,0.08904727447355747
39,Edgy Trimodal,3,10,0,0.8416303396224976,12.023324966430664,4.585695743560791,10.069757461547852,0.09056181020816798,3.7357230861342056e-07,0.08904727447355747
40,Gaussian,0,11,0,0.8542553186416626,12.203700065612793,8.95449161529541,14.707168579101562,0.10635102825772505,3.7357230861342056e-07,0.08904727447355747
41,Bimodal,1,11,0,0.8542559146881104,12.203686714172363,5.810007095336914,8.819846153259277,0.16724443659451907,3.7357230861342056e-07,0.08904727447355747
42,Soft Trimodal,2,11,0,0.8542569279670715,12.203694343566895,3.73427414894104,11.82889175415039,0.2659796961812195,3.7357230861342056e-07,0.08904727447355747
43,Edgy Trimodal,3,11,0,0.8542565107345581,12.203688621520996,4.693511962890625,10.121086120605469,0.0939335555647346,3.7357230861342056e-07,0.08904727447355747
44,Gaussian,0,12,0,0.8668824434280396,12.384064674377441,9.008454322814941,14.659506797790527,0.108864599639662,3.7357230861342056e-07,0.08904727447355747
45,Bimodal,1,12,0,0.8668830394744873,12.384050369262695,5.925565719604492,8.838871002197266,0.17688628148409483,3.7357230861342056e-07,0.08904727447355747
46,Soft Trimodal,2,12,0,0.8668820261955261,12.384056091308594,3.8782920837402344,11.898686408996582,0.2858300990382964,3.7357230861342056e-07,0.08904727447355747
47,Edgy Trimodal,3,12,0,0.8668816685676575,12.384052276611328,4.792867660522461,10.158984184265137,0.09766749497329501,3.7357230861342056e-07,0.08904727447355747
48,Gaussian,0,13,0,0.8795068264007568,12.564428329467773,9.041897773742676,14.604620933532715,0.11323810491183776,3.7357230861342056e-07,0.08904727447355747
49,Bimodal,1,13,0,0.8795086741447449,12.564414024353027,6.033990383148193,8.890585899353027,0.18670802771271297,3.7357230861342056e-07,0.08904727447355747
50,Soft Trimodal,2,13,0,0.8795087933540344,12.564420700073242,4.009698390960693,11.961492538452148,0.30547637861224647,3.7357230861342056e-07,0.08904727447355747
