,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,0.0,,0.04761842492134142,3.116250478786355,0.7999996617436409,0.0
1,Vanilla,0.0,Std,0.0,,0.0051470966285436775,0.12622047249435112,7.819560926371154e-07,0.0
2,Gaussian,1.0,Mean,0.0,,0.06408605366458511,4.4512402307470555,0.9096955880522728,0.05991094605997205
3,Gaussian,1.0,Std,0.0,,0.01719073814305404,0.4387944745104326,1.913610230238223e-06,0.0032985575452739316
4,Hard Bimodal,2.0,Mean,0.0,,0.15887185167118784,1.3006210428444278,0.9096937850117683,0.01591473608277738
5,Hard Bimodal,2.0,Std,0.0,,0.10884738283550274,0.02724878611647404,8.357612194538086e-07,0.0002074681593697326
6,Soft Trimodal,3.0,Mean,0.0,,0.1674851600299733,2.2700591147352895,0.9096957966685295,0.02799940202385187
7,Soft Trimodal,3.0,Std,0.0,,0.16229755514394953,0.1646937666161161,1.4851719072801066e-06,0.0008216752943502275
8,Edgy trimodal,4.0,Mean,0.0,,0.09744934449365764,1.5046553078506935,0.9096948727965355,0.01079378358554095
9,Edgy trimodal,4.0,Std,0.0,,0.05144680067957773,0.08410377267582496,1.483526411246419e-06,0.00030340946838101505
