,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,0.00010229548115603393,0.7308883958353651,0.05610864838852036,3.2160672732235143,0.7999996542930603,0.0
1,Vanilla,0.0,Std,3.686588983141251e-05,0.12683931239841548,0.018950898602216784,0.3631189582128488,1.276639103329414e-06,0.0
2,Gaussian,1.0,Mean,0.00042445959661563393,1.4901394810074151,0.0636260559960996,4.759198004612215,0.9096957966685295,0.06195013644173741
3,Gaussian,1.0,Std,0.00014050447188039057,0.25062502871629405,0.020058475181168194,0.5972160687285287,1.315845096527005e-06,0.003559559154397066
4,Hard Bimodal,2.0,Mean,0.0002771189047052758,1.2098470317112515,0.150702348555404,1.29427279916559,0.9096950590610504,0.01613781531341374
5,Hard Bimodal,2.0,Std,7.717403003198531e-05,0.16430900879320326,0.11969722798375539,0.03422608978239825,1.0986512059668757e-06,0.0002502807358239364
6,Soft Trimodal,3.0,Mean,0.00032848063347046264,1.322873820870106,0.11965589311499163,2.3570746936524314,0.9096957445144653,0.02802876103669405
7,Soft Trimodal,3.0,Std,6.387848676906753e-05,0.13048481358183076,0.08085822648011584,0.19713232949609577,1.0716411230781795e-06,0.000839301048590024
8,Edgy trimodal,4.0,Mean,0.0001528126795165008,0.902964399633146,0.12244661888306675,1.4756328177035922,0.9096952900290489,0.010831194464117289
9,Edgy trimodal,4.0,Std,2.7714253329005352e-05,0.08180746202094817,0.12056135707345665,0.07616869520307347,1.8022244504201265e-06,0.0004942566374016746
