,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,1.5384092307613173e-05,0.27772810807400744,0.04632771947802522,3.0703044612471877,0.8000002950429916,0.0
1,Vanilla,0.0,Std,8.009592905557588e-06,0.06383482699915617,0.0029669893811782692,0.4174096107620874,1.41702129918257e-06,0.0
2,Gaussian,1.0,Mean,5.7609393252278096e-05,0.5366461487821268,0.06640304128039977,4.379878453572209,0.9096948876976967,0.05962504493072629
3,Gaussian,1.0,Std,2.595233906551857e-05,0.12693613482329266,0.0176233258644412,0.6467335513312736,2.2549425583885694e-06,0.0021621371672006077
4,Hard Bimodal,2.0,Mean,3.5397984561313933e-06,0.13593334047072161,0.2315563849691048,1.3174757873599594,0.9096937999129295,0.015588332200422883
5,Hard Bimodal,2.0,Std,7.158689826731273e-07,0.014408681041018617,0.23274911953404462,0.04873195102331767,1.8513306053948204e-06,0.00030440349178710574
6,Soft Trimodal,3.0,Mean,3.76167731701571e-05,0.44181674262330817,0.0794048206845423,2.4537695395333343,0.9096947312355042,0.027782805496826768
7,Soft Trimodal,3.0,Std,9.530965218292901e-06,0.058009315701376137,0.03507097648240824,0.2620267240162383,1.8086351538537453e-06,0.0011626044233839946
8,Edgy trimodal,4.0,Mean,4.6168439098437375e-06,0.15020233031814684,0.16165215659219054,1.407390893131916,0.9096963033080101,0.010419910657219589
9,Edgy trimodal,4.0,Std,3.0122608678219675e-06,0.04254558490213839,0.11355106279855814,0.06198798845521539,1.1542149359625167e-06,0.00036239115390713405
