,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,5.658475720338174e-05,0.5498393633543527,0.055777665718731204,3.1930813087378205,0.7999984920024872,0.0
1,Vanilla,0.0,Std,8.87320731125064e-06,0.04546944067138826,0.01790895148738729,0.17243388719415786,2.36266827290995e-06,0.0
2,Gaussian,1.0,Mean,0.0002720230677368818,1.1957386163731643,0.058417265826759934,5.094892791799116,0.9096956998109818,0.061492728535085917
3,Gaussian,1.0,Std,7.825784390229216e-05,0.1830958273086113,0.020307534109955862,0.5054387057459973,8.625957750324192e-07,0.0027292817681082615
4,Hard Bimodal,2.0,Mean,0.00011628313222900033,0.7887817906820429,0.1073582281761026,1.2937054065271132,0.9096948057413101,0.015972178429365158
5,Hard Bimodal,2.0,Std,1.704315271831527e-05,0.057915424847920276,0.05637114019732547,0.02592891850747647,2.1568626562172035e-06,0.00025563460077425264
6,Soft Trimodal,3.0,Mean,0.0001320538749496336,0.8416214957372932,0.1452847754542283,2.355962178165228,0.9096959158778191,0.027490791399031878
7,Soft Trimodal,3.0,Std,1.4089046139755917e-05,0.04517706620832346,0.09151362024644213,0.1701602741220196,1.8290075195715546e-06,0.000911218740486372
8,Edgy trimodal,4.0,Mean,7.89462092143367e-05,0.6506447841438013,0.09530111649592503,1.5005248808898515,0.9096942842006683,0.010593386017717421
9,Edgy trimodal,4.0,Std,8.681109946126488e-06,0.03664511518438223,0.07522498937766485,0.05917074053644922,1.4336125219828718e-06,0.0001916179882257596
