,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,1.951654121512547e-05,0.3046921814955928,0.05569923068653356,3.3707505025806896,0.8000003173947334,0.0
1,Vanilla,0.0,Std,1.2220113546136155e-05,0.09833371409629432,0.01790297924095717,0.472514283662014,6.436456491260367e-07,0.0
2,Gaussian,1.0,Mean,5.884797042199352e-05,0.5446383965966997,0.05704348047727024,4.649447336784574,0.9096953272819519,0.06075509125366807
3,Gaussian,1.0,Std,2.138189815211598e-05,0.11160892997567269,0.013154681539632973,0.6141193268989948,7.650552781220338e-07,0.0032454337548705327
4,Hard Bimodal,2.0,Mean,5.449215905173332e-07,0.052636822790788525,0.1415990452498008,1.2964159133613486,0.9096947386860847,0.01617456809617579
5,Hard Bimodal,2.0,Std,2.2096989752527398e-07,0.009563464131836315,0.08588389116824881,0.03971342799364395,8.680805711247805e-07,0.0002951636442944091
6,Soft Trimodal,3.0,Mean,4.627205748874985e-05,0.488608392828782,0.1334335865405617,2.3322016587744026,0.9096958190202713,0.02837458369322121
7,Soft Trimodal,3.0,Std,1.1787977241567981e-05,0.06555027288184538,0.10143905039721306,0.1641140277682828,1.3390333023377827e-06,0.0010764377325958529
8,Edgy trimodal,4.0,Mean,2.4525429793698095e-06,0.10519506696318173,0.19742123411887594,1.5219246666331026,0.9096957072615623,0.01073035562876612
9,Edgy trimodal,4.0,Std,1.8906809773535813e-06,0.0426087298459443,0.1754657496501462,0.09527721010401102,1.3783171364338966e-06,0.0003677010012345908
