,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,5.356409644718951e-06,0.16567749736980647,0.06247165215613714,3.347715032555889,0.8000001758337021,0.0
1,Vanilla,0.0,Std,1.8439081243150417e-06,0.02873620086113147,0.0187864615317629,0.3160846715060707,1.926057946813257e-06,0.0
2,Gaussian,1.0,Mean,3.0146453354973346e-05,0.3934758270071466,0.05471341513174476,4.948815267288972,0.9096960425376892,0.06159057002514601
3,Gaussian,1.0,Std,1.0461337407041307e-05,0.06565379752585457,0.008774372606844114,0.41072584270091,1.6705258437683008e-06,0.0030091807689785273
4,Hard Bimodal,2.0,Mean,1.4212480863307064e-06,0.08649919634158407,0.11192262918514247,1.2886619430988138,0.90969417989254,0.015744233154691756
5,Hard Bimodal,2.0,Std,1.4328757448971665e-07,0.004495638799532722,0.0680278401380446,0.023024652806538034,2.1863106390037874e-06,0.00025787269173025747
6,Soft Trimodal,3.0,Mean,8.184143496237084e-06,0.20670340552402808,0.06958197164283249,2.2783683199978584,0.9096947312355042,0.027099820086732507
7,Soft Trimodal,3.0,Std,1.829093897078202e-06,0.02179960362293312,0.01800687921755986,0.13427076054713064,1.8093716188264536e-06,0.00047526842048689106
8,Edgy trimodal,4.0,Mean,1.3792283795055482e-06,0.08524463763625997,0.09211464835281177,1.4304844361818272,0.9096946343779564,0.010481133358553052
9,Edgy trimodal,4.0,Std,1.221789819068797e-07,0.0037235176344315095,0.11365233825407085,0.07321978625805028,1.419272047469636e-06,0.00025868981698457796
