,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,7.25872462226107e-06,0.1895376503290185,0.07324475156442328,3.230579601467019,0.7999998107552528,0.0
1,Vanilla,0.0,Std,3.838871452919167e-06,0.04890812672224874,0.05164727311807087,0.2609044943564957,1.6932171826557788e-06,0.0
2,Gaussian,1.0,Mean,5.2398985189938685e-05,0.5191478685400198,0.06660021790484824,5.085502471850821,0.9096951559185982,0.06296978052705526
3,Gaussian,1.0,Std,1.818927129798303e-05,0.08416208645240854,0.01925120502267345,0.5963772945496608,1.6022559754895535e-06,0.0030693973696797766
4,Hard Bimodal,2.0,Mean,1.5165867353061913e-06,0.08923028529076474,0.12497913454524306,1.3198029306473777,0.9096945896744728,0.015788683551363647
5,Hard Bimodal,2.0,Std,2.1442887485650882e-07,0.006598543556402332,0.07367164854377639,0.036187279173807325,9.606049484138621e-07,0.00031641437017692524
6,Soft Trimodal,3.0,Mean,1.7012798366522475e-05,0.2961256920444905,0.09664233740156326,2.296663338712276,0.9096952527761459,0.027205827180296183
7,Soft Trimodal,3.0,Std,5.38311004757241e-06,0.045986816745199374,0.052536307078566324,0.29978448586451756,8.083794111024644e-07,0.0014506108715580744
8,Edgy trimodal,4.0,Mean,1.9652348157706e-06,0.10104116021259998,0.19747354477477738,1.482851156736506,0.9096940606832504,0.010472575668245554
9,Edgy trimodal,4.0,Std,5.229278186393649e-07,0.012827332768970873,0.18463330051803753,0.046581251762951414,1.5853462975471414e-06,0.000380299564877501
