,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,6.936228970744196e-06,0.1854911871063255,0.05545040089167808,3.408785983001965,0.8000008016824722,0.0
1,Vanilla,0.0,Std,3.3984900411388506e-06,0.044991284173709324,0.019833977847526246,0.29669269903102946,9.1067919675097e-07,0.0
2,Gaussian,1.0,Mean,3.543786624504719e-05,0.4278827672871783,0.08155690505820806,4.738421380731122,0.909694030880928,0.060969187412410975
3,Gaussian,1.0,Std,9.303521188598404e-06,0.05519821958340814,0.058883939118194055,0.3578155631210211,1.0003774459658295e-06,0.002028598352033285
4,Hard Bimodal,2.0,Mean,1.611567768122768e-07,0.02779993627036092,0.226406427187005,1.3096994552970145,0.9096947014331818,0.016242734855040908
5,Hard Bimodal,2.0,Std,1.0293085184068565e-07,0.00857952201247079,0.1631168554387435,0.04249220470861845,1.49962253873457e-06,0.0004003555892880851
6,Soft Trimodal,3.0,Mean,2.5811808427533833e-05,0.36168580887903223,0.11870333169548086,2.4100713944020273,0.9096953272819519,0.02873016521334648
7,Soft Trimodal,3.0,Std,9.433583559903475e-06,0.06895568952487523,0.05686724341523054,0.26315077550998855,1.4883269058685032e-06,0.0013447083484165625
8,Edgy trimodal,4.0,Mean,2.75392658011242e-07,0.037595877567864776,0.08885812606896458,1.5036393853745802,0.9096950367093086,0.01060045335907489
9,Edgy trimodal,4.0,Std,8.446529471846342e-08,0.005744258255208574,0.060128406727833816,0.108411549941506,1.3687793340075612e-06,0.0004962235113380052
