,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,0.00045780806249240413,1.5428053568203093,0.050150781287195,3.1777681263909474,0.8000007793307304,0.0
1,Vanilla,0.0,Std,0.00018196361769974058,0.2871832179473832,0.008098549584152718,0.5549259311749164,1.004668732885602e-06,0.0
2,Gaussian,1.0,Mean,0.0012475320545490831,2.556286008678973,0.06226347114688156,4.3792479071605115,0.9096952974796295,0.059071870520710945
3,Gaussian,1.0,Std,0.0004026262338410587,0.41993821416359023,0.018551230519696985,0.5254285124172764,7.245091069426071e-07,0.0040517533769934945
4,Hard Bimodal,2.0,Mean,0.006306241062702611,5.254170229695859,0.106423570433438,1.296958874735298,0.9096957296133041,0.015910868416540325
5,Hard Bimodal,2.0,Std,0.007460854257940753,2.5134336435976516,0.0620312513297154,0.05762356587545948,9.371160080152824e-07,0.0006460483476072165
6,Soft Trimodal,3.0,Mean,0.0027020688576158136,3.773660110027575,0.08255204132515047,2.2242621056321745,0.9096953645348549,0.026910181622952223
7,Soft Trimodal,3.0,Std,0.0008592028016609978,0.5430827550557698,0.03819974831856156,0.32982099283419064,9.973486446137624e-07,0.0017625939336979428
8,Edgy trimodal,4.0,Mean,0.001908021469716914,3.0990508625307314,0.11445072353708985,1.4413849973661632,0.9096951633691788,0.010320183471776545
9,Edgy trimodal,4.0,Std,0.0011215478029875626,0.8123132494342178,0.09875913767867608,0.15673322109130514,1.3040857445432087e-06,0.0005619628687398911
