,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,0.0,,0.06181408991546025,3.228403885998487,0.7999992445111275,0.0
1,Vanilla,0.0,Std,0.0,,0.024957092624111846,0.5864170607068288,1.5394962168899776e-06,0.0
2,Gaussian,1.0,Mean,0.0,,0.06990731852933245,4.551720340498922,0.909695453941822,0.0607682135887444
3,Gaussian,1.0,Std,0.0,,0.033673701548472296,0.5342328882734514,9.52480311908045e-07,0.003430458428292329
4,Hard Bimodal,2.0,Mean,0.0,,0.23050603486510426,1.3189385785916963,0.9096949175000191,0.01593670714646578
5,Hard Bimodal,2.0,Std,0.0,,0.2254074567143694,0.029765140722394834,1.7253041652050048e-06,0.00015242751578271933
6,Soft Trimodal,3.0,Mean,0.0,,0.18532361583404494,2.249222350802165,0.9096957817673683,0.028125304030254483
7,Soft Trimodal,3.0,Std,0.0,,0.1332960611588893,0.2623033096886232,1.1245935081182654e-06,0.0012932489325293238
8,Edgy trimodal,4.0,Mean,0.0,,0.07704396056580473,1.5154501376018727,0.9096951335668564,0.01083339808974415
9,Edgy trimodal,4.0,Std,0.0,,0.03449957115521375,0.06071032598540143,1.155296550762774e-06,0.00025183856875439075
