,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,0.00016680801491020247,0.9389449726189711,0.05649266115500174,3.549598188016575,0.8000005558133125,0.0
1,Vanilla,0.0,Std,4.4802369217061495e-05,0.12532229877837162,0.01085721449445568,0.3630681974310449,1.4065425406758225e-06,0.0
2,Gaussian,1.0,Mean,0.0006783857497794088,1.8875497265946088,0.07582727804565179,4.5406321362153825,0.9096957519650459,0.06083817593753338
3,Gaussian,1.0,Std,0.0002028551306766968,0.29402269984384555,0.025282622997121213,0.48010639877042227,1.0947790947191528e-06,0.004110108959367936
4,Hard Bimodal,2.0,Mean,0.0009942810502252541,2.263802516331325,0.17791495718857533,1.2870134533635496,0.9096955060958862,0.015659325406886637
5,Hard Bimodal,2.0,Std,0.000410038800190977,0.47308718946206796,0.14004354021746795,0.03082140170481817,1.6356018464579873e-06,0.00021423901994008164
6,Soft Trimodal,3.0,Mean,0.0006685508487862535,1.8795387212938466,0.08763645230532947,2.1842993140263247,0.9096943885087967,0.027267103316262364
7,Soft Trimodal,3.0,Std,0.00018495600910615567,0.2524320484942065,0.028125990781654713,0.11043813795688233,1.993361032310363e-06,0.0010745142944895952
8,Edgy trimodal,4.0,Mean,0.0006599477183044655,1.7554295839265128,0.07577397753963565,1.5360694094991827,0.9096942767500877,0.010794899542815983
9,Edgy trimodal,4.0,Std,0.000606316145631625,0.6845255617817302,0.03569101571024665,0.09817429686390002,1.5199001804358057e-06,0.00048674648694311287
