,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,6.966683486098191e-05,0.610098532948635,0.049024277127647925,3.294637985102211,0.7999995797872543,0.0
1,Vanilla,0.0,Std,1.1398227165380389e-05,0.050438218857471746,0.00593548037674805,0.2753011633310044,1.0977413497396119e-06,0.0
2,Gaussian,1.0,Mean,0.0003168412258673925,1.3008183646582037,0.06931143483441676,4.913838377677034,0.9096953198313713,0.06103258300572634
3,Gaussian,1.0,Std,5.1134545616351506e-05,0.11081645817515014,0.02279890636998495,0.3696228313113966,1.0517465049075631e-06,0.0013662679182522182
4,Hard Bimodal,2.0,Mean,0.00016750930717535084,0.9365833978678106,0.1426788131265387,1.2959872861184167,0.9096948355436325,0.01607035333290696
5,Hard Bimodal,2.0,Std,5.8217041031534536e-05,0.15462022327609476,0.09718373859070041,0.020791595693524144,1.4516974014385615e-06,0.00015923218894546668
6,Soft Trimodal,3.0,Mean,0.00019955148854933213,1.0308967780174532,0.12305363434078856,2.2431891193160025,0.9096947833895683,0.027375010307878256
7,Soft Trimodal,3.0,Std,3.9529547650360974e-05,0.10351190376519681,0.059828014512837854,0.23378860168729126,1.4290943862982623e-06,0.000670234754394137
8,Edgy trimodal,4.0,Mean,9.724869778438006e-05,0.7203912016717816,0.11187080678459095,1.520837594023185,0.9096940755844116,0.010742317419499159
9,Edgy trimodal,4.0,Std,1.7400693335608825e-05,0.0646066188626282,0.08849891940014804,0.06756707909032177,1.3237734028406626e-06,0.0004081214439690181
