,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,0.0,,0.04971941272195095,3.0372017342450848,0.8000006899237633,0.0
1,Vanilla,0.0,Std,0.0,,0.007513086988630559,0.6006183859679534,6.569620999898165e-07,0.0
2,Gaussian,1.0,Mean,0.0,,0.09362214458639337,4.681605032560448,0.9096956104040146,0.06316962372511625
3,Gaussian,1.0,Std,0.0,,0.05860311772210433,0.5673136881032864,1.6153161153390511e-06,0.0051698261009986484
4,Hard Bimodal,2.0,Mean,0.0,,0.1162502904687395,1.2896751229878722,0.9096948653459549,0.015769483405165374
5,Hard Bimodal,2.0,Std,0.0,,0.11929345921681339,0.07447779965232264,1.031414418260587e-06,0.000597449467913121
6,Soft Trimodal,3.0,Mean,0.0,,0.1263480229618789,2.231784686884664,0.9096943885087967,0.02725270902737975
7,Soft Trimodal,3.0,Std,0.0,,0.07672583129993667,0.1913586003016875,1.62107923905272e-06,0.0005525772662430528
8,Edgy trimodal,4.0,Mean,0.0,,0.09159891921837347,1.4619368482499837,0.909695029258728,0.010366591508500278
9,Edgy trimodal,4.0,Std,0.0,,0.05544137052901923,0.08951744722581059,1.4183526080001348e-06,0.0007953887409922363
