,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,5.104917590870173e-05,0.5146156296393627,0.05640409917387333,3.2935619782946834,0.799999974668026,0.0
1,Vanilla,0.0,Std,1.3614591944102754e-05,0.06814176844167637,0.01286799444717098,0.33152305334318655,6.229594354833415e-07,0.0
2,Gaussian,1.0,Mean,0.00014514548411170836,0.8601301037423257,0.056606125114670516,4.331942355871316,0.909696452319622,0.05922082345932722
3,Gaussian,1.0,Std,5.386452352172346e-05,0.16233785604658243,0.014196575844742118,0.6332235370763051,1.0086391171351933e-06,0.005937140038183311
4,Hard Bimodal,2.0,Mean,1.6322618535014044e-05,0.290391707813954,0.20948901423893618,1.289267179718853,0.9096958786249161,0.01563455769792199
5,Hard Bimodal,2.0,Std,5.279690437106839e-06,0.042832547497426265,0.16696822167757125,0.05607595475741304,1.3698536258379725e-06,0.0003754480981907988
6,Soft Trimodal,3.0,Mean,0.00012226848957652692,0.799891197971505,0.1046128862435733,2.0911236988542363,0.9096960499882698,0.026530552888289094
7,Soft Trimodal,3.0,Std,2.2385823546558043e-05,0.07477287676114835,0.06384916359654184,0.18014694367199782,1.2055905078790325e-06,0.0012397873105830296
8,Edgy trimodal,4.0,Mean,1.9258968109170382e-05,0.31270160903691063,0.15004767742877184,1.415090429347113,0.9096943140029907,0.009932155953720212
9,Edgy trimodal,4.0,Std,8.474443319308355e-06,0.06228754936493431,0.10705870047523218,0.09980327220468496,1.018524616398517e-06,0.0004725662853119182
