,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,0.0,,0.04859211336547385,3.367394918120237,0.7999997511506081,0.0
1,Vanilla,0.0,Std,0.0,,0.005510861403534533,0.3918084378045502,1.6916427983243307e-06,0.0
2,Gaussian,1.0,Mean,0.0,,0.061610598199134746,4.971432582511375,0.90969617664814,0.062829012516886
3,Gaussian,1.0,Std,0.0,,0.008943245162887796,0.5797995617127638,2.353392993242959e-06,0.002946170466312773
4,Hard Bimodal,2.0,Mean,0.0,,0.16366154468943445,1.3232093194410324,0.9096953645348549,0.01608347287401557
5,Hard Bimodal,2.0,Std,0.0,,0.15970589769488985,0.032191222580885276,2.038996731597443e-06,0.00020258704896623656
6,Soft Trimodal,3.0,Mean,0.0,,0.1355620120406886,2.188875276839836,0.9096950069069862,0.027704038191586733
7,Soft Trimodal,3.0,Std,0.0,,0.09173022805103412,0.11802456022042969,1.7140707981926485e-06,0.0005772698155893375
8,Edgy trimodal,4.0,Mean,0.0,,0.09712671084226344,1.5172069358508855,0.9096958339214325,0.010935832164250314
9,Edgy trimodal,4.0,Std,0.0,,0.0874941534612477,0.06873040388838395,1.3972172939456751e-06,0.0004443095925893444
