,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,4.122240045489889e-05,0.4496643127429044,0.04899399080387692,3.094537780694825,0.7999995648860931,0.0
1,Vanilla,0.0,Std,2.0139247396523015e-05,0.11964387779499572,0.010678565643103164,0.37476890846689925,1.3140086939959885e-06,0.0
2,Gaussian,1.0,Mean,8.889261903277657e-05,0.6576038160841842,0.05322622150524741,4.212149320459862,0.9096947908401489,0.0609319219365716
3,Gaussian,1.0,Std,5.0997430006680857e-05,0.18560290187839731,0.015040389155430146,1.0951490745295693,5.982774466241816e-07,0.006781302559423386
4,Hard Bimodal,2.0,Mean,8.689704088737926e-06,0.19661922631721906,0.16200506567314274,1.2877339573067226,0.9096951559185982,0.01560363091994077
5,Hard Bimodal,2.0,Std,6.8806388462307186e-06,0.08355754719978746,0.11946732690868754,0.04295825392017504,1.164747622852569e-06,0.0007914980310522551
6,Soft Trimodal,3.0,Mean,0.00010067430775961839,0.7238151358530402,0.12013538895299007,2.358029902195727,0.9096954315900803,0.027917456813156605
7,Soft Trimodal,3.0,Std,2.0343843092680984e-05,0.06974163177473519,0.09315287519714795,0.1798765884542173,1.9975894460843892e-06,0.0018318372102756706
8,Edgy trimodal,4.0,Mean,1.572843274288971e-05,0.2789641275652551,0.1230733713249487,1.4839455049443842,0.9096943959593773,0.010493566747754812
9,Edgy trimodal,4.0,Std,7.440845786220908e-06,0.06920661378016454,0.10879824987574147,0.08423734415796907,1.2189614370467502e-06,0.0007618178402183347
