,Name,N,Model Index,DeltaPhi,MC,MLLE,Neff,Rho,KL
0,Vanilla,50,0,0.05187465963148989,14.078545570373535,-0.3315858542919159,2.5758162806224036,0.7500016689300537,0.0
1,Gaussian,50,1,0.044849107764628054,13.61781120300293,-0.13522717356681824,2.373871852830282,0.81986004114151,0.046033620834350586
2,Bimodal,50,2,0.3054170729294597,7.163981914520264,-0.9891393184661865,1.2320399764975896,0.8198601603507996,0.01845567859709263
3,Soft Trimodal,50,3,0.046905921730311384,11.03494930267334,-0.17319008708000183,2.165562899196198,0.8198603391647339,0.026931896805763245
4,Edgy trimodal,50,4,0.04717881428933003,8.263651847839355,-1.183552622795105,1.4541211108507253,0.819860577583313,0.010220300406217575
5,Vanilla,100,0,0.044264735137167485,16.009729385375977,-0.3370284140110016,2.6223088455370815,0.7499977946281433,0.0
6,Gaussian,100,1,0.06154423657165518,17.97046661376953,-0.1585616171360016,3.8197200048024706,0.8198605179786682,0.05241090804338455
7,Bimodal,100,2,0.229534076569348,8.724535942077637,-0.8624372482299805,1.2270606842905356,0.8198591470718384,0.01786104589700699
8,Soft Trimodal,100,3,0.2358216989188074,11.821107864379883,-0.8179599046707153,1.8794714860980157,0.8198599815368652,0.027803612872958183
9,Edgy trimodal,100,4,0.043854719889566754,9.24100399017334,-1.1954638957977295,1.334420612208532,0.819861114025116,0.011517979204654694
10,Vanilla,150,0,0.048562664048045254,16.652359008789062,-0.33967697620391846,2.6207518939152954,0.7500006556510925,0.0
11,Gaussian,150,1,0.04411048468606801,17.125640869140625,-0.16567757725715637,3.0319128363964687,0.8198601007461548,0.052138470113277435
12,Bimodal,150,2,0.05279511739102635,9.424257278442383,-0.8134341835975647,1.3160905352858645,0.8198590278625488,0.018048051744699478
13,Soft Trimodal,150,3,0.12481688116745408,12.689390182495117,-0.6467999219894409,2.2143737884664403,0.8198575377464294,0.027778390794992447
14,Edgy trimodal,150,4,0.09607132537158826,10.219405174255371,-1.0897217988967896,1.4194074360483768,0.8198606967926025,0.010908068157732487
15,Vanilla,200,0,0.07338636194836502,18.75084686279297,-0.3151879906654358,2.8871943442384893,0.7500004768371582,0.0
16,Gaussian,200,1,0.04512622063998273,20.674266815185547,-0.14839708805084229,3.3309518234861533,0.8198621869087219,0.051137182861566544
17,Bimodal,200,2,0.049823601783140055,9.704495429992676,-0.9231572151184082,1.2598837352059233,0.8198601007461548,0.01845625415444374
18,Soft Trimodal,200,3,0.18857915894198685,13.133822441101074,-0.1948627531528473,2.0640957203741963,0.819859504699707,0.029460426419973373
19,Edgy trimodal,200,4,0.051407183745751386,11.181158065795898,-1.307727336883545,1.4464761245363458,0.8198614716529846,0.010936031118035316
20,Vanilla,250,0,0.0486744053826891,19.276399612426758,-0.31207892298698425,2.8344738699690804,0.7500025033950806,0.0
21,Gaussian,250,1,0.048340134813833265,20.433805465698242,-0.1609088033437729,3.9290291079842166,0.8198590278625488,0.05348529294133186
22,Bimodal,250,2,0.08924378938547173,10.475275993347168,-0.8347862958908081,1.3014869675841072,0.819861114025116,0.018473835662007332
23,Soft Trimodal,250,3,0.12529450935426595,13.326713562011719,-0.12499815225601196,1.9663103031312241,0.8198611736297607,0.028709789738059044
24,Edgy trimodal,250,4,0.060521165275204465,10.95960807800293,-1.2365050315856934,1.3641035953666005,0.8198580741882324,0.010914432816207409
25,Vanilla,50,0,0.046784062857201165,13.351877212524414,-0.30555054545402527,3.0952189794920884,0.7499980330467224,0.0
26,Gaussian,50,1,0.05265960662553121,14.14494514465332,-0.1339360922574997,2.8730138884883867,0.8198612332344055,0.047862760722637177
27,Bimodal,50,2,0.05316718662642713,7.87339973449707,-1.0660029649734497,1.3147413753902872,0.8198601603507996,0.0172521211206913
28,Soft Trimodal,50,3,0.05007707152445055,9.59547233581543,-0.12017174065113068,2.0526872690850073,0.8198594450950623,0.029708905145525932
29,Edgy trimodal,50,4,0.05294819332981701,8.690268516540527,-1.150567650794983,1.3233948925032561,0.8198606371879578,0.012001209892332554
30,Vanilla,100,0,0.04791780769481546,15.536636352539062,-0.35299181938171387,2.5969302409356168,0.7499996423721313,0.0
31,Gaussian,100,1,0.04418408907807501,17.183692932128906,-0.1633952111005783,2.9469083290224467,0.8198617696762085,0.04790937155485153
32,Bimodal,100,2,0.09216358672012907,9.228597640991211,-0.6521152257919312,1.2866600947737357,0.81986004114151,0.018161466345191002
33,Soft Trimodal,100,3,0.10766707639604906,11.596475601196289,-0.5816105604171753,1.9986284013260123,0.8198623061180115,0.02860916592180729
34,Edgy trimodal,100,4,0.06048679986388024,9.258014678955078,-0.9380653500556946,1.3259392938338312,0.8198621273040771,0.011865934357047081
35,Vanilla,150,0,0.08124005513187876,16.698200225830078,-0.2949289083480835,2.655343947541164,0.7499991655349731,0.0
36,Gaussian,150,1,0.048385874531220764,18.292753219604492,-0.19293852150440216,3.822896101406503,0.8198593258857727,0.056072816252708435
37,Bimodal,150,2,0.057831832905534133,9.407094955444336,-0.8714693784713745,1.3135103972327182,0.8198608756065369,0.018794341012835503
