,Name,TYPE,MSE,MC,Lambda max,delta_phI,KL,Rho,A-Norm,B-Norm
51,3) - Gauss 2 - 150 UNIT - Spectral Radius: 0.95 ,2,3.799935088810713e-10,10.801689147949219,-0.94489694,0.06785621659800865,0.08554273843765259,0.5604901909828186,13.706120491027832,2.136516571044922
52,3) - Bimodal - 150 UNIT - Spectral Radius: 0.95 ,3,1.861146756709786e-07,8.66905403137207,-7.591902,0.05263243848511181,0.10856796056032181,0.9478471875190735,23.86627960205078,11.73326301574707
53,3) - Trim 1 - 150 UNIT - Spectral Radius: 0.95 ,4,1.8289719738717736e-09,10.503334045410156,-0.116653316,0.06381811853148105,0.08148356527090073,0.9420787692070007,23.53420066833496,10.114215850830078
54,3) - Trim 2 - 150 UNIT - Spectral Radius: 0.95 ,5,1.7562924448100148e-09,10.63560962677002,-0.07182778,0.3638864400651699,0.053355950862169266,0.9477429389953613,22.543697357177734,9.97633171081543
55,3) - Trim 3 - 150 UNIT - Spectral Radius: 0.95 ,6,4.1014093454805334e-08,9.048044204711914,-0.12282106,0.10793610593553286,0.05353139340877533,0.9497137665748596,24.74846076965332,11.998810768127441
56,4) - Vanilla - 150 UNIT - Spectral Radius: 0.95 ,0,2.874321126000723e-06,19.70264434814453,-0.15377459,0.0626937497493754,,0.9500010013580322,1.0,0.0
57,4) - Gauss 1 - 150 UNIT - Spectral Radius: 0.95 ,1,6.496309623571506e-08,10.396163940429688,-0.10198995,0.06540228021567807,0.2560088038444519,0.944474458694458,20.23108673095703,5.001625061035156
58,4) - Gauss 2 - 150 UNIT - Spectral Radius: 0.95 ,2,9.314687909878216e-10,11.145240783691406,-1.1113017,0.04399254241435627,0.08517924696207047,0.5612236857414246,13.75456428527832,2.186944007873535
59,4) - Bimodal - 150 UNIT - Spectral Radius: 0.95 ,3,1.39500329510156e-07,9.158706665039062,-0.40104374,0.07456658128515514,0.10162100195884705,0.9494580030441284,22.678977966308594,11.32955265045166
60,4) - Trim 1 - 150 UNIT - Spectral Radius: 0.95 ,4,1.6238920208522245e-09,11.047588348388672,-0.06681595,0.06948145559283528,0.07010532170534134,0.9443360567092896,21.105594635009766,9.24577808380127
61,4) - Trim 2 - 150 UNIT - Spectral Radius: 0.95 ,5,9.747781470892392e-10,10.834328651428223,-0.1054441,0.07183018684382075,0.05462126433849335,0.9398144483566284,23.98102378845215,10.845451354980469
62,4) - Trim 3 - 150 UNIT - Spectral Radius: 0.95 ,6,1.9847148369223078e-09,9.541202545166016,-0.07559483,0.04660457695514839,0.05602961778640747,0.9372033476829529,22.048187255859375,11.610613822937012
63,5) - Vanilla - 150 UNIT - Spectral Radius: 0.95 ,0,5.89656019656104e-06,19.534482955932617,-0.16867533,0.053140760335906985,,0.9500004649162292,1.0,0.0
64,5) - Gauss 1 - 150 UNIT - Spectral Radius: 0.95 ,1,6.222916937304035e-08,11.165760040283203,-0.5508982,0.06079173809423015,0.22292499244213104,0.9437965154647827,19.22359848022461,4.238405704498291
65,5) - Gauss 2 - 150 UNIT - Spectral Radius: 0.95 ,2,7.399801882357337e-10,11.372027397155762,-0.6314285,0.21531426716207436,0.08573713153600693,0.5565105676651001,13.690762519836426,2.086991786956787
66,5) - Bimodal - 150 UNIT - Spectral Radius: 0.95 ,3,1.4402945680558332e-07,8.782047271728516,-0.67288756,0.12205997906137155,0.10571961849927902,0.9478764533996582,23.313520431518555,11.887945175170898
67,5) - Trim 1 - 150 UNIT - Spectral Radius: 0.95 ,4,5.380281775657636e-10,10.125362396240234,-0.6928692,0.04970386507581503,0.08110804855823517,0.9495726823806763,24.5157413482666,10.803162574768066
