,Name,N,Model Index,Log Nu,Tau,Lambda,MSE,NRMSE
2128,Gaussian,100,1,-0.5,1,0.0,1.0385846280769329e-06,0.08222147479593318
2129,Gaussian,100,1,-0.5,2,0.0,6.46661510472768e-06,0.2077325961297557
2130,Gaussian,100,1,-0.5,5,0.0,0.00010234952787868679,0.8061386652524808
2131,Gaussian,100,1,-0.5,10,0.0,0.0011048385640606284,2.6425550280771857
2132,Gaussian,100,1,0.0,1,0.0,1.6331034203176387e-05,0.20578455280037272
2133,Gaussian,100,1,0.0,2,0.0,1.2452715964172967e-05,0.188938996669029
2134,Gaussian,100,1,0.0,5,0.0,0.00019419258751440793,0.7381396687703048
2135,Gaussian,100,1,0.0,10,0.0,0.0021061410661786795,2.4139983035937322
2136,Gaussian,100,1,0.5,1,0.0,0.0004791987594217062,0.7601192798621971
2137,Gaussian,100,1,0.5,2,0.0,0.00034300098195672035,0.640501708285267
2138,Gaussian,100,1,0.5,5,0.0,0.0015603258507326245,1.3926363768305043
2139,Gaussian,100,1,0.5,10,0.0,0.006983029656112194,2.9019297000249193
2140,Hard Bimodal,100,2,-2.0,1,0.0,1.9749814283986922e-10,0.005219186214244769
2141,Hard Bimodal,100,2,-2.0,2,0.0,3.508121082518301e-08,0.06490745947872158
2142,Hard Bimodal,100,2,-2.0,5,0.0,6.512136678793468e-06,0.9412479188346399
2143,Hard Bimodal,100,2,-2.0,10,0.0,0.00307834823615849,20.373561316873932
2144,Hard Bimodal,100,2,-1.0,1,0.0,2.9332425377504023e-09,0.007099522617326843
2145,Hard Bimodal,100,2,-1.0,2,0.0,2.648906729518785e-07,0.06631873829901458
2146,Hard Bimodal,100,2,-1.0,5,0.0,6.363874854287133e-05,1.057562744768226
2147,Hard Bimodal,100,2,-1.0,10,0.0,0.021482478827238083,20.091625142802815
2148,Hard Bimodal,100,2,-0.5,1,0.0,1.7632114435173207e-08,0.011183386045932841
2149,Hard Bimodal,100,2,-0.5,2,0.0,2.1099650382438995e-07,0.03684133740385167
2150,Hard Bimodal,100,2,-0.5,5,0.0,0.0001803991326596588,1.101588472100736
2151,Hard Bimodal,100,2,-0.5,10,0.0,0.06620460748672485,20.787673760454627
2152,Hard Bimodal,100,2,0.0,1,0.0,4.1502914882585173e-07,0.03279376474315275
2153,Hard Bimodal,100,2,0.0,2,0.0,3.1413010219694115e-06,0.0897465262750242
2154,Hard Bimodal,100,2,0.0,5,0.0,0.0004610006290022284,1.1063883700284307
2155,Hard Bimodal,100,2,0.0,10,0.0,0.1710313856601715,21.342937850580693
2156,Hard Bimodal,100,2,0.5,1,0.0,5.0712478696368635e-06,0.07999328154333522
2157,Hard Bimodal,100,2,0.5,2,0.0,5.030395186622627e-05,0.24556681819933707
2158,Hard Bimodal,100,2,0.5,5,0.0,0.0031497622840106487,1.921083613024165
2159,Hard Bimodal,100,2,0.5,10,0.0,0.34778156876564026,20.86562040750848
2160,Soft Trimodal,100,3,-2.0,1,0.0,7.617811803584118e-08,0.09740765401264637
2161,Soft Trimodal,100,3,-2.0,2,0.0,1.803461060490008e-07,0.16182284713570097
2162,Soft Trimodal,100,3,-2.0,5,0.0,1.0084366294904612e-05,1.115167031200621
2163,Soft Trimodal,100,3,-2.0,10,0.0,0.00047776446444913745,7.8843710712993085
2164,Soft Trimodal,100,3,-1.0,1,0.0,3.5692039546120213e-07,0.07894463042408606
2165,Soft Trimodal,100,3,-1.0,2,0.0,1.245800149263232e-06,0.1548766759111341
2166,Soft Trimodal,100,3,-1.0,5,0.0,6.975785800023004e-05,1.1306837403414836
2167,Soft Trimodal,100,3,-1.0,10,0.0,0.0033819477539509535,7.7498306748135635
2168,Soft Trimodal,100,3,-0.5,1,0.0,1.935997488544672e-06,0.11235408525848882
2169,Soft Trimodal,100,3,-0.5,2,0.05,1.6199062883970328e-05,0.31827865934745553
2170,Soft Trimodal,100,3,-0.5,5,0.0,0.00021238450426608324,1.15151093987367
2171,Soft Trimodal,100,3,-0.5,10,0.0,0.007970897480845451,7.210424601291397
2172,Soft Trimodal,100,3,0.0,1,0.0,3.891914457199164e-05,0.3391380656544976
2173,Soft Trimodal,100,3,0.0,2,0.0,2.9323677154025063e-05,0.2796804155486081
2174,Soft Trimodal,100,3,0.0,5,0.0,0.0005389056168496609,1.178694148919896
2175,Soft Trimodal,100,3,0.0,10,0.0,0.026162439957261086,8.33490000938847
2176,Soft Trimodal,100,3,0.5,1,0.0,0.0008997059194371104,1.0772110202347418
2177,Soft Trimodal,100,3,0.5,2,0.0,0.0004452246939763427,0.7359644955747818
2178,Soft Trimodal,100,3,0.5,5,0.0,0.003029941115528345,1.940729096057945
2179,Soft Trimodal,100,3,0.5,10,0.0,0.055922552943229675,8.214422094504256
2180,Edgy trimodal,100,4,-2.0,1,0.0,6.358478188417394e-10,0.008805785561483077
2181,Edgy trimodal,100,4,-2.0,2,0.0,2.818594069253777e-08,0.06252162901824773
2182,Edgy trimodal,100,4,-2.0,5,0.0,1.8275742377227289e-06,0.50430701826962
2183,Edgy trimodal,100,4,-2.0,10,0.0,0.0021237984765321016,16.63926234150815
2184,Edgy trimodal,100,4,-1.0,1,0.0,4.2164316482740105e-09,0.008560995328356155
2185,Edgy trimodal,100,4,-1.0,2,0.0,8.635504968879104e-07,0.12141716744763204
2186,Edgy trimodal,100,4,-1.0,5,0.0,1.3469899386109319e-05,0.49267956190671874
2187,Edgy trimodal,100,4,-1.0,10,0.0,0.014480629935860634,16.54298673626531
2188,Edgy trimodal,100,4,-0.5,1,0.0,3.640780121827447e-08,0.015620554630650771
2189,Edgy trimodal,100,4,-0.5,2,0.0,2.7781041467278556e-07,0.04161197812920738
2190,Edgy trimodal,100,4,-0.5,5,0.0,4.0091730625135824e-05,0.5157511296761474
2191,Edgy trimodal,100,4,-0.5,10,0.0,0.03986708074808121,16.19389069826228
2192,Edgy trimodal,100,4,0.0,1,0.0,8.113123044495296e-07,0.04665418361107577
2193,Edgy trimodal,100,4,0.0,2,0.0,2.489736516508856e-06,0.08385403632613926
2194,Edgy trimodal,100,4,0.0,5,0.0,0.00019300644635222852,0.7313786515747982
2195,Edgy trimodal,100,4,0.0,10,0.0,0.11611879616975784,17.424688849277643
2196,Edgy trimodal,100,4,0.5,1,0.0,1.976053863472771e-05,0.15369906082705578
2197,Edgy trimodal,100,4,0.5,2,0.0,5.957959365332499e-05,0.2702272385434895
2198,Edgy trimodal,100,4,0.5,5,0.0,0.0023408769629895687,1.6762610684455395
2199,Edgy trimodal,100,4,0.5,10,0.0,0.254789263010025,17.48170255771463
2200,Vanilla,150,0,-2.0,1,0.0,9.382894461396063e-09,0.034726791445446215
2201,Vanilla,150,0,-2.0,2,0.0,1.3812170607252483e-07,0.13027604885429447
2202,Vanilla,150,0,-2.0,5,0.0,1.3880203368898947e-06,0.41670853483926723
2203,Vanilla,150,0,-2.0,10,0.0,2.0478793885558844e-05,1.6574246541615134
2204,Vanilla,150,0,-1.0,1,0.0,9.081718133074901e-08,0.04018803683802269
2205,Vanilla,150,0,-1.0,2,0.0,2.2660003651253646e-07,0.06353416030483137
2206,Vanilla,150,0,-1.0,5,0.0,1.4125433153822087e-05,0.48730800528151774
2207,Vanilla,150,0,-1.0,10,0.0,0.00012979452731087804,1.502055111362899
2208,Vanilla,150,0,-0.5,1,0.0,2.508122634026222e-07,0.041313703257059714
2209,Vanilla,150,0,-0.5,2,0.0,8.084471119218506e-07,0.07318701255311878
2210,Vanilla,150,0,-0.5,5,0.0,2.049728027486708e-05,0.36345897962052165
2211,Vanilla,150,0,-0.5,10,0.0,0.0004893180448561907,1.7627976321800678
2212,Vanilla,150,0,0.0,1,0.0,2.3219981812871993e-06,0.0796965457185872
2213,Vanilla,150,0,0.0,2,0.0,5.550009973376291e-06,0.11968280200975885
2214,Vanilla,150,0,0.0,5,0.0,7.79653710196726e-05,0.448232181080014
2215,Vanilla,150,0,0.0,10,0.0,0.0009172615827992558,1.635428928726133
2216,Vanilla,150,0,0.5,1,0.0,3.877533890772611e-05,0.22896677297709883
2217,Vanilla,150,0,0.5,2,0.0,0.00015794477076269686,0.44279369952363773
2218,Vanilla,150,0,0.5,5,0.0,0.0011811342556029558,1.1948921611442247
2219,Vanilla,150,0,0.5,10,0.0,0.003910572733730078,2.2413549705215896
2220,Gaussian,150,1,-2.0,1,0.0,2.8926057993317045e-08,0.06436738177470547
2221,Gaussian,150,1,-2.0,2,0.0,2.040662252511538e-07,0.1612257891506704
2222,Gaussian,150,1,-2.0,5,0.0,3.387779770491761e-06,0.650739192634028
2223,Gaussian,150,1,-2.0,10,0.0,4.114878174732439e-05,2.207844974092716
2224,Gaussian,150,1,-1.0,1,0.0,1.5236844319588272e-07,0.05327901568440488
2225,Gaussian,150,1,-1.0,2,0.0,1.7435786503483541e-06,0.17568980593509836
2226,Gaussian,150,1,-1.0,5,0.0,2.6326035367674194e-05,0.6754934105837603
2227,Gaussian,150,1,-1.0,10,0.0,0.000228022166993469,1.9995750333382303
2228,Gaussian,150,1,-0.5,1,0.0,4.2843478809118096e-07,0.05206630199838923
2229,Gaussian,150,1,-0.5,2,0.0,2.368866944379988e-06,0.12253845094911843
2230,Gaussian,150,1,-0.5,5,0.0,5.073904321761802e-05,0.5703301361701498
2231,Gaussian,150,1,-0.5,10,0.0,0.0006270646117627621,2.015349140067812
2232,Gaussian,150,1,0.0,1,0.0,7.418812401738251e-06,0.14328610343367326
2233,Gaussian,150,1,0.0,2,0.0,8.215605703298934e-06,0.1466214111210864
2234,Gaussian,150,1,0.0,5,0.0,0.00010868906247196719,0.5515025130549263
2235,Gaussian,150,1,0.0,10,0.0,0.001391780562698841,1.9169852848871205
2236,Gaussian,150,1,0.5,1,0.0,0.00019959658675361425,0.4921619620585443
2237,Gaussian,150,1,0.5,2,0.0,0.0002334702730877325,0.5228960453643342
2238,Gaussian,150,1,0.5,5,0.0,0.000762404000852257,0.9960535078708571
2239,Gaussian,150,1,0.5,10,0.0,0.00449034059420228,2.355043894850706
2240,Hard Bimodal,150,2,-2.0,1,0.0,1.153268314180167e-10,0.003847615664733711
2241,Hard Bimodal,150,2,-2.0,2,0.0,1.8725296868637997e-08,0.049510345496370574
2242,Hard Bimodal,150,2,-2.0,5,0.0,3.2557393296883674e-06,0.6433282201898137
2243,Hard Bimodal,150,2,-2.0,10,0.0,0.002837443258613348,18.298699604796035
