,Model Name,N,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
2,Gaussian,200,1.0,Mean,3.0146453354973346e-05,0.3934758270071466,0.05471341513174476,4.948815267288972,0.9096960425376892,0.06159057002514601
3,Gaussian,200,1.0,Std,1.0461337407041307e-05,0.06565379752585457,0.008774372606844114,0.41072584270091,1.6705258437683008e-06,0.0030091807689785273
4,Hard Bimodal,200,2.0,Mean,1.4212480863307064e-06,0.08649919634158407,0.11192262918514247,1.2886619430988138,0.90969417989254,0.015744233154691756
5,Hard Bimodal,200,2.0,Std,1.4328757448971665e-07,0.004495638799532722,0.0680278401380446,0.023024652806538034,2.1863106390037874e-06,0.00025787269173025747
6,Soft Trimodal,200,3.0,Mean,8.184143496237084e-06,0.20670340552402808,0.06958197164283249,2.2783683199978584,0.9096947312355042,0.027099820086732507
7,Soft Trimodal,200,3.0,Std,1.829093897078202e-06,0.02179960362293312,0.01800687921755986,0.13427076054713064,1.8093716188264536e-06,0.00047526842048689106
8,Edgy trimodal,200,4.0,Mean,1.3792283795055482e-06,0.08524463763625997,0.09211464835281177,1.4304844361818272,0.9096946343779564,0.010481133358553052
9,Edgy trimodal,200,4.0,Std,1.221789819068797e-07,0.0037235176344315095,0.11365233825407085,0.07321978625805028,1.419272047469636e-06,0.00025868981698457796
0,Vanilla,250,0.0,Mean,3.784909807791337e-06,0.14041510852457703,0.05578836104959855,3.245194433712678,0.7999996170401573,0.0
1,Vanilla,250,0.0,Std,8.339930555878166e-07,0.016215597053811228,0.015790685668262985,0.31369608721726866,1.6192119020695032e-06,0.0
2,Gaussian,250,1.0,Mean,1.7163577240353334e-05,0.2976124510955798,0.0738782404330364,4.602907686356453,0.909695491194725,0.05976911773905158
3,Gaussian,250,1.0,Std,5.2402846711940066e-06,0.04503284371713428,0.05036582937703796,0.35014568433060445,1.8906866727959127e-06,0.0023526424815500215
4,Hard Bimodal,250,2.0,Mean,1.670913277962427e-06,0.09378700280413389,0.1980205187567789,1.3239241596763212,0.9096946120262146,0.015863506007008255
5,Hard Bimodal,250,2.0,Std,1.7404097400165645e-07,0.004921793915624358,0.19826282851441435,0.0431875955417681,2.2307988895415475e-06,0.00022174642134901288
6,Soft Trimodal,250,3.0,Mean,6.138339188055397e-06,0.1791852866113153,0.1366664915226285,2.319549984291824,0.9096954166889191,0.027583264047279954
7,Soft Trimodal,250,3.0,Std,1.155479831588207e-06,0.01717545347747161,0.07316665451359436,0.16961605567055535,1.3163723245476352e-06,0.000652218262346126
8,Edgy trimodal,250,4.0,Mean,1.418450423784634e-06,0.08644894606857231,0.08773728826335808,1.526380898102204,0.9096967428922653,0.010577688692137599
9,Edgy trimodal,250,4.0,Std,1.2210934923499631e-07,0.00375945175832497,0.07621745406213637,0.039557590534948346,1.907756042927446e-06,0.00023277990273028269
