,Name,TYPE,MSE,MC,Lambda max,delta_phI,KL,Rho,A-Norm,B-Norm
0,1) - Vanilla - 100 UNIT - Spectral Radius: 0.95 ,0,5.5535575487261196e-09,17.205150604248047,-0.060520343,0.07121905180121849,,0.9500004053115845,1.0,0.0
1,1) - Gauss 1 - 100 UNIT - Spectral Radius: 0.95 ,1,1.5415531265425176e-08,9.902867317199707,-0.27046633,0.15778278967182166,0.20889386534690857,0.7758311629295349,15.22735595703125,3.2170348167419434
2,1) - Gauss 2 - 100 UNIT - Spectral Radius: 0.95 ,2,2.3296589066344932e-08,10.069804191589355,-0.6177764,0.06410434214206977,0.15847019851207733,0.6294963955879211,12.860549926757812,3.9625582695007324
3,1) - Bimodal - 100 UNIT - Spectral Radius: 0.95 ,3,3.112972979672571e-08,8.128005027770996,-1.3243946,0.288179356563351,0.09185916930437088,0.8731088042259216,17.33116340637207,8.283519744873047
4,1) - Trim 1 - 100 UNIT - Spectral Radius: 0.95 ,4,2.0327188010982233e-08,9.814806938171387,-0.44933435,0.07991605652800807,0.06194468215107918,0.6596846580505371,13.188176155090332,5.805418968200684
5,1) - Trim 2 - 100 UNIT - Spectral Radius: 0.95 ,5,2.076023303137912e-08,10.26469898223877,-0.1874225,0.04623990886204995,0.04867057502269745,0.8504014611244202,15.384696006774902,6.9125285148620605
6,2) - Vanilla - 100 UNIT - Spectral Radius: 0.95 ,0,8.406926756812925e-09,19.372461318969727,-0.08904279,0.1352386575956567,,0.9499983191490173,1.0,0.0
7,2) - Gauss 1 - 100 UNIT - Spectral Radius: 0.95 ,1,2.8038105931318658e-08,10.327324867248535,-1.4300296,0.23234037728987927,0.21264606714248657,0.7559200525283813,14.840973854064941,3.076380729675293
8,2) - Gauss 2 - 100 UNIT - Spectral Radius: 0.95 ,2,4.6221464384007194e-08,9.36169719696045,-0.867717,0.58168995338014,0.15790316462516785,0.6304445862770081,12.617074012756348,3.894472360610962
9,2) - Bimodal - 100 UNIT - Spectral Radius: 0.95 ,3,4.030387007044515e-08,8.582258224487305,-0.71339256,0.07336354275014893,0.10424871742725372,0.8679170608520508,17.504026412963867,8.283591270446777
10,2) - Trim 1 - 100 UNIT - Spectral Radius: 0.95 ,4,1.951323151332749e-08,9.2970609664917,-0.25656748,0.049153227647557564,0.07647912949323654,0.8628915548324585,18.540952682495117,8.409379005432129
11,2) - Trim 2 - 100 UNIT - Spectral Radius: 0.95 ,5,2.8531139730386935e-08,9.758976936340332,-0.3915131,0.04468651215801734,0.047876954078674316,0.6888951063156128,14.890750885009766,7.067716121673584
12,3) - Vanilla - 100 UNIT - Spectral Radius: 0.95 ,0,1.5679783523922736e-08,18.95969009399414,-0.07328937,0.04521103386087393,,0.9499968886375427,1.0,0.0
13,3) - Gauss 1 - 100 UNIT - Spectral Radius: 0.95 ,1,1.66355148254829e-08,11.077692031860352,-0.3590519,0.2044740929688064,0.16699767112731934,0.7676894664764404,14.812746047973633,2.6716368198394775
14,3) - Gauss 2 - 100 UNIT - Spectral Radius: 0.95 ,2,2.1438527987328975e-08,10.552262306213379,-0.5998899,0.04457714837026006,0.06465137004852295,0.5521390438079834,10.735688209533691,1.2617948055267334
15,3) - Bimodal - 100 UNIT - Spectral Radius: 0.95 ,3,1.5513453739988434e-08,8.732209205627441,-0.31831613,0.15625109624269057,0.09858956933021545,0.9095035195350647,17.646207809448242,8.266794204711914
16,3) - Trim 1 - 100 UNIT - Spectral Radius: 0.95 ,4,3.450413950571926e-08,9.76524543762207,-0.40460593,0.05856254681744463,0.06561826914548874,0.6853071451187134,14.848164558410645,6.161365032196045
17,3) - Trim 2 - 100 UNIT - Spectral Radius: 0.95 ,5,2.741078511072158e-08,9.899883270263672,-0.20227337,0.045364150968663974,0.051222942769527435,0.8175427913665771,15.77337646484375,7.46948766708374
